fname,itp,tp_prob,its,ts_prob
20210129061722.000000.GD.HYJ.mseed_33000,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_36000,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_36000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_33000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_33000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_33000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_36000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_33000,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_36000,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_39000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_36000,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_39000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_36000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_39000,[2784],[0.400685],[],[]
20210129061722.000000.GD.BLT.mseed_36000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_36000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_39000,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_39000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_39000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_39000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_39000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_0,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_0,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_3000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_0,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_0,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_0,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_3000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_0,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_6000,[1001],[0.974791],[1237],[0.94512]
20210129061722.000000.GD.LVY.mseed_3000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_3000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_0,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_0,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_6000,[891],[0.975933],[1050],[0.969624]
20210129061722.000000.GD.YAM.mseed_3000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_3000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_9000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_3000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_6000,[993],[0.926989],[1229],[0.92888]
20210129061722.000000.GD.LVY.mseed_6000,[863],[0.974903],[1006],[0.974503]
20210129061722.000000.GD.XIG.mseed_3000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_6000,[932],[0.982621],[1124],[0.982883]
20210129061722.000000.GD.XFJ.mseed_9000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_12000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_6000,[958],[0.979103],[1156],[0.983337]
20210129061722.000000.GD.QZI.mseed_6000,[943],[0.983012],[1141],[0.952203]
20210130225441.000000.GD.BLT.mseed_9000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_12000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_9000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_6000,[869],[0.980701],[1016],[0.942702]
20210129061722.000000.GD.YAM.mseed_9000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_9000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_9000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_12000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_15000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_12000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_15000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_9000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_12000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_12000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_15000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_18000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_12000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_15000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_12000,[1788],[0.303246],[],[]
20210130225441.000000.GD.BLT.mseed_18000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_15000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_15000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_18000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_21000,[1496],[0.978941],[],[]
20210129061722.000000.GD.LVY.mseed_18000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_15000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_15000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_18000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_21000,[1495],[0.954539],[],[]
20210129061722.000000.GD.XFJ.mseed_24000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_18000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_21000,[1494],[0.967683],[],[]
20210129061722.000000.GD.LVY.mseed_21000,[1496],[0.980128],[2167],[0.33944]
20210129061722.000000.GD.QZI.mseed_18000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_21000,[1496],[0.971981],[],[]
20210130225441.000000.GD.BLT.mseed_24000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_18000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_27000,[2391],[0.979353],[2550],[0.972668]
20210129061722.000000.GD.LTK.mseed_21000,[1494],[0.943127],[],[]
20210129061722.000000.GD.LVY.mseed_24000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_24000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_21000,[1496],[0.966375],[],[]
20210129061722.000000.GD.ZHX.mseed_24000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_27000,[2492],[0.94244],[2729],[0.931703]
20210129061722.000000.GD.XIG.mseed_21000,[1496],[0.97109],[1923],[0.702993]
20210129061722.000000.GD.XFJ.mseed_30000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_27000,[2364],[0.980922],[2506],[0.984251]
20210129061722.000000.GD.QZI.mseed_24000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_24000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_27000,[2432],[0.983253],[2624],[0.979905]
20210130225441.000000.GD.BLT.mseed_30000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_33000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_27000,[2501],[0.950733],[2737],[0.92556]
20210129061722.000000.GD.XIG.mseed_24000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_30000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_27000,[2459],[0.984733],[2656],[0.983236]
20210129061722.000000.GD.YAM.mseed_30000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_27000,[2444],[0.985384],[2641],[0.947931]
20210129061722.000000.GD.XFJ.mseed_36000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_33000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_30000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_27000,[2370],[0.980435],[2517],[0.947703]
20210129061722.000000.GD.LVY.mseed_33000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_30000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_30000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_33000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_36000,[],[],[],[]
20210129061722.000000.GD.XFJ.mseed_39000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_33000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_30000,[],[],[],[]
20210130225441.000000.GD.BLT.mseed_39000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_33000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_36000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_33000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_33000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_36000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_36000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_36000,[],[],[],[]
20210129061722.000000.GD.ZHX.mseed_39000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_36000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_36000,[],[],[],[]
20210129061722.000000.GD.LVY.mseed_39000,[],[],[],[]
20210129061722.000000.GD.YAM.mseed_39000,[],[],[],[]
20210129061722.000000.GD.XIG.mseed_39000,[],[],[],[]
20210129061722.000000.GD.QZI.mseed_39000,[],[],[],[]
20210129061722.000000.GD.LTK.mseed_39000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_0,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_0,[],[],[],[]
20210130225441.000000.GD.HYJ.mseed_0,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_0,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_6000,[948],[0.960871],[1149],[0.967181]
20210130225441.000000.GD.DOX.mseed_9000,[],[],[],[]
20210130225441.000000.GD.LTK.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DYXC.mseed_3000,[],[],[],[]
20210130225441.000000.GD.DOX.mseed_12000,[],[],[],[]
